2023.04.13 19:01:15 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_organizations
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_github_repositories
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/get_github_client_id
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/get_binding
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/list
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/list_definitions
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/count_binding
2023.04.13 19:01:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_settings/validate
2023.04.13 19:01:16 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2023.04.13 19:01:16 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2023.04.13 19:01:16 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2023.04.13 19:01:16 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2023.04.13 19:01:16 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
